Entrez GeneID 1	Entrez GeneID 2	Pathophenotypic similarity
5913	285489	3.6378
5634	5631	3.6355
493753	1340	3.635
493753	22868	3.635
1340	22868	3.635
3630	3767	3.6347
2916	60506	3.6332
3674	2811	3.6328
6927	3172	3.6328
5157	8312	3.6325
5664	8864	3.6302
9333	27032	3.6276
6392	7428	3.6261
56623	51259	3.6244
3674	2812	3.6196
3674	2815	3.6196
7045	4070	3.6194
7873	6690	3.6148
2147	5054	3.6104
3082	51168	3.6099
8504	5189	3.6082
8504	55670	3.6082
5189	5195	3.6082
5189	5824	3.6082
5195	55670	3.6082
55670	5824	3.6082
2308	5002	3.6053
5002	5081	3.6053
7067	7253	3.602
4893	207	3.6007
3659	2064	3.595
5157	1499	3.5943
5795	675	3.5914
8313	675	3.5914
27030	675	3.5914
675	2033	3.5914
3859	83959	3.5905
3850	83959	3.5905
3868	3848	3.5902
5795	7157	3.5877
57716	4359	3.5877
7157	8313	3.5877
7157	27030	3.5877
7157	2033	3.5877
2799	138050	3.5864
51422	6331	3.5848
6833	3767	3.5839
51062	3798	3.5819
54332	4747	3.5798
4609	596	3.5784
6663	1910	3.5768
9897	6687	3.5747
4747	1959	3.5704
1824	1829	3.5689
4552	27249	3.568
81846	1959	3.5644
5578	1029	3.5632
1406	1121	3.5606
958	57379	3.5577
2157	3998	3.5562
445	5009	3.5545
4669	2799	3.546
10083	65217	3.5452
50506	6528	3.5437
324	5157	3.5421
6331	2702	3.5407
4914	4803	3.5401
55812	9129	3.54
6329	1180	3.5399
5376	4747	3.5398
5376	1959	3.5391
1316	4595	3.5389
3767	2645	3.5382
3000	6121	3.5377
4287	6311	3.5283
3674	2159	3.5282
3640	122042	3.5278
4233	5157	3.5275
4647	7399	3.5269
4647	79955	3.5269
9516	1959	3.5264
3690	2811	3.5261
5318	287	3.5237
5290	5157	3.5232
3690	2812	3.523
3690	2815	3.523
731	1675	3.523
57716	54332	3.5227
5825	5828	3.5226
1824	287	3.5224
10516	2006	3.5194
3032	3030	3.5183
2200	81794	3.5179
9211	1137	3.5179
6654	7249	3.5172
3674	7450	3.5152
1161	2074	3.5141
4137	5663	3.5136
29914	4070	3.5125
7039	5578	3.5119
9573	392255	3.5119
183	185	3.509
185	1636	3.509
344	4023	3.5071
142680	1184	3.5065
1311	4148	3.5059
5318	6331	3.5031
29914	4166	3.5027
7043	3753	3.5016
7043	3757	3.5016
7043	9992	3.5016
11136	6519	3.4992
4166	200576	3.4992
5669	200942	3.499
596	613	3.4987
2147	2155	3.4974
2155	5054	3.4974
7078	24	3.4968
9516	4747	3.495
5345	2158	3.4923
7045	4166	3.4919
1643	2073	3.4918
55812	114902	3.4886
7873	7157	3.4886
65217	64072	3.487
4041	8322	3.4839
4233	1499	3.4825
7157	324	3.4822
4602	613	3.4806
613	3195	3.4806
613	5087	3.4806
2157	2161	3.4787
3426	3075	3.4785
6886	6955	3.4775
2120	4170	3.4768
2120	4066	3.4768
2120	602	3.4768
4291	4170	3.4768
4291	4066	3.4768
4291	602	3.4768
6455	4170	3.4768
6455	4066	3.4768
6455	602	3.4768
4170	2322	3.4768
4170	8021	3.4768
4170	8028	3.4768
4170	4026	3.4768
4170	23365	3.4768
4170	4869	3.4768
4170	4066	3.4768
4170	602	3.4768
4170	8301	3.4768
4170	8833	3.4768
4170	54904	3.4768
4170	1050	3.4768
2322	4066	3.4768
2322	602	3.4768
8021	4066	3.4768
8021	602	3.4768
8028	4066	3.4768
8028	602	3.4768
4026	4066	3.4768
4026	602	3.4768
23365	4066	3.4768
23365	602	3.4768
4869	4066	3.4768
4869	602	3.4768
4066	602	3.4768
4066	8301	3.4768
4066	8833	3.4768
4066	54904	3.4768
4066	1050	3.4768
602	8301	3.4768
602	8833	3.4768
602	54904	3.4768
602	1050	3.4768
5318	7043	3.4761
2243	4069	3.4758
7167	3098	3.4758
7167	669	3.4758
1298	1299	3.4758
5795	324	3.4751
324	8313	3.4751
324	27030	3.4751
324	2033	3.4751
7508	2073	3.4749
64421	5897	3.4745
64421	5896	3.4745
2760	3073	3.474
7507	5429	3.4735
2688	6658	3.4732
10594	55812	3.4713
9129	114902	3.4713
8312	1499	3.4669
2539	2821	3.4654
6005	286	3.4649
6017	8842	3.464
3717	4352	3.4627
675	1029	3.4614
1411	4810	3.4598
2147	3998	3.4597
3998	5054	3.4597
3859	200576	3.4594
3850	200576	3.4594
1406	55812	3.4591
7043	8048	3.4581
435	5009	3.4579
286676	79784	3.4578
286676	11078	3.4578
286676	71	3.4578
286676	1687	3.4578
117531	79784	3.4578
117531	11078	3.4578
117531	71	3.4578
117531	1687	3.4578
7007	79784	3.4578
7007	11078	3.4578
7007	71	3.4578
7007	1687	3.4578
79784	2299	3.4578
79784	9132	3.4578
79784	5962	3.4578
79784	64699	3.4578
79784	2070	3.4578
79784	79977	3.4578
2299	11078	3.4578
2299	71	3.4578
2299	1687	3.4578
11078	9132	3.4578
11078	5962	3.4578
11078	64699	3.4578
11078	2070	3.4578
11078	79977	3.4578
71	9132	3.4578
71	5962	3.4578
71	64699	3.4578
71	2070	3.4578
71	79977	3.4578
1687	9132	3.4578
1687	5962	3.4578
1687	64699	3.4578
1687	2070	3.4578
1687	79977	3.4578
5290	1499	3.4569
8287	3972	3.4534
3630	2645	3.453
10083	64072	3.4502
2263	7291	3.45
2120	861	3.4489
4291	861	3.4489
6455	861	3.4489
861	2322	3.4489
861	8021	3.4489
861	8028	3.4489
861	4026	3.4489
861	23365	3.4489
861	4869	3.4489
861	8301	3.4489
861	8833	3.4489
861	54904	3.4489
861	1050	3.4489
6886	8115	3.4476
8115	6955	3.4476
1203	1200	3.4472
2263	2261	3.4449
54332	1959	3.444
23600	6718	3.4433
153201	8659	3.4413
54716	8659	3.4413
1829	3753	3.4401
1829	3757	3.4401
1829	9992	3.4401
7043	6331	3.4398
3798	65055	3.439
4747	4359	3.4382
7879	4747	3.4367
7873	79577	3.4357
6654	118429	3.4302
1829	51422	3.4295
3040	3043	3.4284
51062	123606	3.4281
582	583	3.4276
582	585	3.4276
582	51057	3.4276
582	79738	3.4276
582	84100	3.4276
582	27241	3.4276
582	55212	3.4276
582	166379	3.4276
582	129880	3.4276
582	123016	3.4276
583	585	3.4276
583	51057	3.4276
583	79738	3.4276
583	84100	3.4276
583	27241	3.4276
583	55212	3.4276
583	166379	3.4276
583	129880	3.4276
583	123016	3.4276
585	51057	3.4276
585	79738	3.4276
585	84100	3.4276
585	27241	3.4276
585	55212	3.4276
585	166379	3.4276
585	129880	3.4276
585	123016	3.4276
51057	79738	3.4276
51057	84100	3.4276
51057	27241	3.4276
51057	55212	3.4276
51057	166379	3.4276
51057	129880	3.4276
51057	123016	3.4276
79738	84100	3.4276
79738	27241	3.4276
79738	55212	3.4276
79738	166379	3.4276
79738	129880	3.4276
79738	123016	3.4276
84100	27241	3.4276
84100	55212	3.4276
84100	166379	3.4276
84100	129880	3.4276
84100	123016	3.4276
27241	55212	3.4276
27241	166379	3.4276
27241	129880	3.4276
27241	123016	3.4276
55212	166379	3.4276
55212	129880	3.4276
55212	123016	3.4276
166379	129880	3.4276
166379	123016	3.4276
129880	123016	3.4276
65217	51168	3.4262
208	5078	3.4253
3172	5078	3.4253
3159	5078	3.4253
5376	81846	3.4243
958	7374	3.4233
79784	3082	3.4201
79784	51168	3.4201
11078	3082	3.4201
11078	51168	3.4201
71	3082	3.4201
71	51168	3.4201
1687	3082	3.4201
1687	51168	3.4201
6654	7248	3.4194
2120	5159	3.4175
4291	5159	3.4175
6455	5159	3.4175
4170	5159	3.4175
2322	5159	3.4175
8021	5159	3.4175
8028	5159	3.4175
4026	5159	3.4175
23365	5159	3.4175
4869	5159	3.4175
4066	5159	3.4175
5159	602	3.4175
5159	8301	3.4175
5159	8833	3.4175
5159	54904	3.4175
5159	1050	3.4175
1829	8048	3.4159
4286	7299	3.4148
1308	3909	3.4092
4148	1280	3.409
5318	3784	3.4087
2796	6658	3.4084
7480	7476	3.4082
4254	103	3.4071
958	200942	3.4066
5795	201163	3.4063
201163	8313	3.4063
201163	27030	3.4063
201163	2033	3.4063
4292	1029	3.406
4436	1029	3.406
2160	5742	3.4034
5742	7450	3.4033
3784	10021	3.4033
3690	7450	3.4025
2731	2653	3.4025
2731	275	3.4025
2653	275	3.4025
355	200942	3.3997
2539	7167	3.3993
3110	81839	3.3985
6005	2040	3.3981
7476	64327	3.3968
435	445	3.396
9516	81846	3.3938
50846	6736	3.3933
59344	242	3.3932
10083	51168	3.3894
5626	6658	3.3871
7157	675	3.387
2153	2159	3.3865
4297	4602	3.3861
4297	3195	3.3861
4297	5087	3.3861
5956	8842	3.3859
1302	1280	3.3857
54332	81846	3.3825
54714	5956	3.382
675	79577	3.3819
84059	7399	3.3805
84059	79955	3.3805
1421	8419	3.3799
9897	6683	3.3798
3549	658	3.3789
29914	30813	3.3766
948	3673	3.374
3690	3673	3.3735
2153	196527	3.3733
5376	9516	3.3703
3859	4166	3.3675
3850	4166	3.3675
121512	79628	3.3627
3691	3909	3.3608
7381	27089	3.3594
7381	54902	3.3594
27089	54902	3.3594
7450	64805	3.357
5625	8659	3.3569
1406	5961	3.3555
4204	6792	3.3541
8200	9241	3.3434
7077	8438	3.3432
7077	83990	3.3432
7077	8493	3.3432
7077	9821	3.3432
8438	85320	3.3432
83990	85320	3.3432
8493	85320	3.3432
9821	85320	3.3432
65055	9897	3.343
7169	7136	3.341
7169	7140	3.341
4148	4322	3.3409
89884	6658	3.3373
1829	6331	3.3354
1121	6102	3.3351
6005	6521	3.3304
51422	10021	3.3302
81846	4359	3.33
9380	189	3.3283
5224	5837	3.328
9211	6326	3.3279
1203	2055	3.3276
149461	10686	3.3273
4292	2308	3.3262
4292	5081	3.3262
2308	4436	3.3262
4436	5081	3.3262
6390	23095	3.326
9897	9420	3.3251
3630	6833	3.3225
5376	54332	3.3222
1121	285440	3.3222
5795	5290	3.3218
5290	8313	3.3218
5290	27030	3.3218
5290	2033	3.3218
7051	59344	3.3195
7051	242	3.3195
6708	2038	3.3188
23414	1482	3.3186
1824	3784	3.3168
8200	64327	3.3157
462	3053	3.3157
1675	5199	3.3157
55812	5961	3.3148
183	5972	3.3145
1636	5972	3.3145
324	8312	3.3143
1643	2068	3.3137
7157	207	3.3092
5205	8647	3.3085
3730	1630	3.3075
1188	6557	3.3055
7067	6528	3.3048
54332	9516	3.3046
2876	6708	3.3039
80208	9897	3.303
55812	6102	3.3028
9622	286077	3.3019
7067	7173	3.3009
3209	658	3.3001
7157	8312	3.2997
2159	2162	3.2991
65217	7399	3.2989
65217	79955	3.2989
3708	2259	3.2979
4621	7136	3.2973
4621	7140	3.2973
6710	6521	3.295
7067	7080	3.2939
6710	2038	3.2918
595	7873	3.2901
7507	2068	3.2899
3848	127534	3.2886
3848	2707	3.2886
1200	54982	3.2874
1836	1280	3.2865
5345	5742	3.2864
1300	4148	3.2863
2159	2157	3.2849
5657	720	3.2847
7157	4893	3.2838
7051	3849	3.2835
2308	5077	3.2818
5077	5081	3.2818
80270	6718	3.2814
4170	613	3.2813
4066	613	3.2813
582	8195	3.2793
583	8195	3.2793
585	8195	3.2793
51057	8195	3.2793
79738	8195	3.2793
8195	84100	3.2793
8195	27241	3.2793
8195	55212	3.2793
8195	166379	3.2793
8195	129880	3.2793
8195	123016	3.2793
1718	6654	3.2787
1406	10594	3.2782
7157	1499	3.2773
8988	3315	3.2767
207	675	3.2757
51062	6687	3.2756
2157	2165	3.2753
9516	4359	3.2748
1300	3549	3.2747
2159	3690	3.2746
596	1066	3.274
5157	207	3.2737
8200	2192	3.2734
3859	1296	3.2711
3850	1296	3.2711
7173	50506	3.27
1908	1910	3.2692
843	200942	3.2684
2157	5742	3.2681
2157	7450	3.2661
2956	2308	3.2655
2956	5081	3.2655
5395	2308	3.2655
5395	5081	3.2655
2161	3818	3.2632
10397	9516	3.2629
7450	2812	3.2607
7450	2815	3.2607
7490	675	3.2586
9657	261734	3.2559
6017	6010	3.2556
8438	5002	3.2556
83990	5002	3.2556
8493	5002	3.2556
9821	5002	3.2556
2916	6295	3.254
60506	6295	3.254
6389	644096	3.254
6295	5959	3.254
51422	287	3.2536
4609	1066	3.2535
3798	6687	3.2525
3849	3848	3.2506
54332	4359	3.2504
861	613	3.2478
6340	1585	3.2478
6338	1585	3.2478
6770	1589	3.2477
8048	2771	3.2475
9129	8842	3.2474
23600	80270	3.2466
1103	1145	3.2446
3858	3849	3.2442
3691	1308	3.244
2896	5663	3.2422
7168	7139	3.2419
9129	5961	3.2414
5318	6262	3.2408
324	6654	3.2407
1373	445	3.2405
6928	3172	3.2397
7508	2068	3.2396
2120	4609	3.2395
4291	4609	3.2395
4609	6455	3.2395
4609	4170	3.2395
4609	2322	3.2395
4609	8021	3.2395
4609	8028	3.2395
4609	4026	3.2395
4609	23365	3.2395
4609	4869	3.2395
4609	4066	3.2395
4609	5159	3.2395
4609	602	3.2395
4609	8301	3.2395
4609	8833	3.2395
4609	54904	3.2395
4609	1050	3.2395
26121	762	3.2395
26121	7287	3.2395
762	7287	3.2395
5290	207	3.2392
6103	6102	3.2382
2263	2260	3.238
2120	4342	3.2379
4291	4342	3.2379
6455	4342	3.2379
2322	4342	3.2379
8021	4342	3.2379
8028	4342	3.2379
4026	4342	3.2379
23365	4342	3.2379
4869	4342	3.2379
8301	4342	3.2379
8833	4342	3.2379
54904	4342	3.2379
4342	1050	3.2379
6005	2876	3.2357
6785	9129	3.2343
2006	30008	3.2331
4893	5157	3.2326
5314	27031	3.2319
79784	11078	3.2303
11078	71	3.2303
11078	1687	3.2303
930	5669	3.2302
11236	201163	3.2293
84925	201163	3.2293
4968	201163	3.2293
324	4893	3.2281
2153	2155	3.2272
5795	2308	3.2271
5795	5081	3.2271
2308	8313	3.2271
2308	27030	3.2271
2308	2033	3.2271
8313	5081	3.2271
27030	5081	3.2271
2033	5081	3.2271
1411	10484	3.2265
2876	6710	3.2265
6559	6557	3.2259
185	5972	3.2245
8022	6658	3.2229
5159	613	3.222
4609	861	3.2219
3717	54583	3.221
286676	1729	3.2203
117531	1729	3.2203
7007	1729	3.2203
1729	2299	3.2203
1729	9132	3.2203
1729	5962	3.2203
1729	64699	3.2203
1729	2070	3.2203
1729	79977	3.2203
1630	392255	3.2202
6708	6521	3.2197
2539	226	3.2186
8438	207	3.218
83990	207	3.218
8493	207	3.218
9821	207	3.218
6870	84634	3.2173
6866	84634	3.2173
84634	26012	3.2173
84634	60675	3.2173
7003	23418	3.2164
6591	1908	3.2164
145282	64327	3.216
5345	2165	3.2138
2165	5742	3.2138
6326	1137	3.2131
55572	4724	3.2129
55572	91942	3.2129
4724	91942	3.2129
4286	6591	3.2124
7507	2073	3.2107
51371	3848	3.2093
10117	9622	3.2076
